,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
0,Microbiology,2020-08-20 16:53:27.916775,What is Microbiology With Full Information? – [Hindi] – Quick Support,4H0RC_5HUDU,2020-07-29T13:30:41Z,PT9M18S,14454,984,16
1,Microbiology,2020-08-20 16:53:27.916785,B.Sc Microbiology कोर्स के बारे में पूरी जानकारी हिंदी में - What is BSc Microbiology | Student Go |,4S4r-Ryff-Y,2020-01-11T22:38:48Z,PT15M56S,31895,1019,48
2,Microbiology,2020-08-20 16:53:27.916787,Introduction To Microbiology,fU0XO1X1tAE,2017-09-26T20:34:26Z,PT6M45S,475946,9680,205
3,Microbiology,2020-08-20 16:53:27.916789,Microbiology = Introduction and Scope of Microbiology (HINDI) By Solution Pharmacy,BEKyDNLM1q8,2018-12-27T11:30:00Z,PT13M35S,71790,1897,44
4,Microbiology,2020-08-20 16:53:27.916791,B.Sc microbiology/ b.sc microbiology course details in Tamil/b.sc microbiology jobs and salary,oBCC7d6oDTM,2020-04-22T14:53:08Z,PT7M3S,33518,948,25
5,Microbiology,2020-08-20 16:53:27.916793,MICROBIOLOGY: A MAJOR COURSE ABOUT MINOR THINGS | CAREER GURU M.S JALIL,bZSkkILCGhc,2019-08-21T09:00:08Z,PT5M59S,18646,530,7
6,Microbiology,2020-08-20 16:53:27.916795,Microbiology lecture 1 | Bacteria structure and function,OBej7rFyN7U,2019-06-28T13:46:11Z,PT32M53S,128303,2650,72
7,Microbiology,2020-08-20 16:53:27.916797,Introduction to Microbiology.,H0xmxeh6qoo,2019-05-09T12:38:52Z,PT37M39S,106189,1831,47
8,Microbiology,2020-08-20 16:53:27.916799,Microbiology career jobs and salary | What to do after Bsc in Microbiology?,OVpNuSNtjFM,2019-02-11T16:14:10Z,PT19M5S,134658,3712,125
9,Microbiology,2020-08-20 16:53:27.916801,"CAREERS IN B.Sc MICROBIOLOGY - M.Sc,DEGREE,Job Opportunities,Salary Package",qKS_N8Qrma8,2015-06-04T12:07:26Z,PT5M23S,346922,3848,322
10,Microbiology,2020-08-20 16:53:27.916802,എന്താണ് bsc മൈക്രോ ബിയോളജി || BSC Microbiology - scope/Jobs In Malayalam,v8Lhjy8FIjY,2020-06-21T04:23:52Z,PT11M25S,7029,416,6
11,Microbiology,2020-08-20 16:53:27.916804,"BSc Microbiology in Tamil | Scope, salary &amp; Job details of BSc Microbiology | Higher studies",UjjdYkLtP4I,2020-07-26T13:06:36Z,PT5M54S,2728,77,2
12,Microbiology,2020-08-20 16:53:27.916806,B.Sc Microbiology career options aur syllabus in Hindi | बीएससी माइक्रोबायोलॉजी,MP_-AG2ob3w,2020-05-30T16:30:07Z,PT6M59S,5715,168,10
13,Microbiology,2020-08-20 16:53:27.916808,A tour of the Microbiology Lab - Section one,afM7DGjSVn4,2009-09-03T15:41:02Z,PT8M12S,387749,3246,63
14,Microbiology,2020-08-20 16:53:27.916810,Microbiology Important Points ( Part - 1 ),G6asddRHhgg,2019-03-10T11:30:00Z,PT14M57S,61775,2236,56
15,Microbiology,2020-08-20 16:53:27.916812,Bsc microbiology course detail in Hindi | bsc microbiology job opportunity | bsc microbiology fees |,2UN-QXerE44,2020-07-26T02:26:18Z,PT8M19S,1957,74,5
