,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
34,Data Structures,2020-08-21 22:07:13.259032,How I Got Good at Algorithms and Data Structures,eQObpgYUwxM,2020-05-10T16:00:20Z,PT7M46S,52994,2088,38
35,Data Structures,2020-08-21 22:07:13.259042,The Placement Course : Java + Data Structures + Algorithms,lxja8wBwN0k,2019-07-11T12:52:24Z,PT34M27S,864833,27678,303
36,Data Structures,2020-08-21 22:07:13.259050,Data Structures: Trees,oSWTXtMglKE,2016-09-27T19:39:18Z,PT9M57S,598102,7974,139
37,Data Structures,2020-08-21 22:07:13.259058,CS50 2019 - Lecture 5 - Data Structures,4IrUAqYKjIA,2019-10-15T16:09:20Z,PT1H45M3S,129702,-1,-1
38,Data Structures,2020-08-21 22:07:13.259065,Chapter 1 Introduction to Data Structure Hindi,5uTQz43k4gg,2015-03-08T12:14:13Z,PT14M5S,913100,10664,188
39,Data Structures,2020-08-21 22:07:13.259074,JavaScript Data Structures: Getting Started,41GSinwoMYA,2020-08-06T15:00:02Z,PT1H36M47S,41833,2289,11
40,Data Structures,2020-08-21 22:07:13.259082,สอน Data Structures &amp; Algorithms #1 - รู้จักกับโครงสร้างข้อมูล,PHZi_y7Vjik,2019-08-11T17:40:23Z,PT10M40S,8104,181,1
41,Data Structures,2020-08-21 22:07:13.259090,Data Structures: Linked Lists,njTh_OwMljA,2016-09-27T19:39:23Z,PT7M43S,566143,6349,178
42,Data Structures,2020-08-21 22:07:13.259098,Coursera: Python Data Structures Complete Course Assignment Solutions |Python Data Structures Answer,vIoEDdSzmcg,2020-08-04T04:24:48Z,PT1H43M34S,1396,37,0
43,Data Structures,2020-08-21 22:07:13.259106,#2 Types of data structure - Data structures and algorithms Course,xEYC2ELzGco,2019-06-29T13:30:03Z,PT17M14S,11747,301,5
44,Data Structures,2020-08-21 22:07:13.259115,How Important are Algorithms and Data Structures in Backend Engineering?,pG_twkFN6iE,2020-05-09T11:00:31Z,PT13M30S,6392,247,4
45,Data Structures,2020-08-21 22:07:13.259123,Sets (data structure) - Beau teaches JavaScript,wl8u02IdVxo,2017-03-05T14:00:06Z,PT10M23S,22650,213,3
46,Data Structures,2020-08-21 22:07:13.259133,Resources for Learning Data Structures and Algorithms (Data Structures &amp; Algorithms #8),UNWSdgaPkwY,2018-08-07T04:39:29Z,PT3M36S,475902,16677,176
47,Data Structures,2020-08-21 22:07:13.259141,ARRAYS ADVANTAGES &amp; LIMITATIONS - DATA STRUCTURES,x7t_-ULoAZM,2019-05-09T18:20:40Z,PT13M5S,83069,1876,36
48,Data Structures,2020-08-21 22:07:13.259149,"INORDER,PREORDER,POSTORDER TREE TRAVERSAL DATA STRUCTURES",TMEa6E-KBW8,2017-06-15T12:40:31Z,PT5M57S,221219,2274,380
49,Data Structures,2020-08-21 22:07:13.259158,Introductions to Data Structures and Algorithms |  Live Workshop by GeeksforGeeks - Day 2,PqqNMJHCmiE,2020-08-11T12:40:46Z,PT1H5M50S,13061,653,17
50,Data Structures,2020-08-21 22:07:15.170725,Data Structures: Stacks and Queues,wjI1WNcIntg,2016-09-27T19:39:25Z,PT5M46S,309183,2935,76
51,Data Structures,2020-08-21 22:07:15.170751,Do You Need To Learn Data Structures and Algorithms?,2mOgMkSFLiA,2019-07-14T14:56:29Z,PT7M53S,46873,1953,29
52,Data Structures,2020-08-21 22:07:15.170757,What is Stack Data Structure ? | Data Structure and Algorithms (DSA) | Part - 1,r7P9sy5Rar8,2019-03-15T15:00:06Z,PT15M13S,33097,782,10
53,Data Structures,2020-08-21 22:07:15.170763,Infix to Postfix Conversions | Data Structures Tutorial | Mr. Srinivas,sw05hkrlJmE,2017-10-04T14:20:00Z,PT10M37S,149601,-1,-1
54,Data Structures,2020-08-21 22:07:15.170769,Complete Data Structure Tutorial DS by Scientific Method  Full data structure in one video,R5KoLStSo7A,2019-09-01T20:35:34Z,PT1H21M11S,3442,81,11
55,Data Structures,2020-08-21 22:07:15.170775,5.1 Tree in data structure | Introduction to trees | Data structures,YAdLFsTG70w,2019-10-04T14:49:26Z,PT29M17S,152042,2308,36
56,Data Structures,2020-08-21 22:07:15.170781,Introduction to Data Structure  Lec-1|Hindi,mH0lRS4ztgI,2019-02-23T02:17:03Z,PT5M39S,56149,1486,35
57,Data Structures,2020-08-21 22:07:15.170787,Data Structures and Algorithms in JavaScript - Full Course for Beginners,t2CEgPsws3U,2018-09-04T18:16:17Z,PT1H52M55S,396356,9028,74
58,Data Structures,2020-08-21 22:07:15.170795,7.4 Insertion Sort Algorithm | Data Structure,yCxV0kBpA6M,2019-06-10T12:18:35Z,PT28M13S,223656,3967,115
59,Data Structures,2020-08-21 22:07:15.170813,Coursera: 9.4 Assignment solution// Python data structures 9.4 Assignment solution/#circuitryproject,r9ZhaDInfpg,2020-05-25T05:13:17Z,PT8M10S,2167,26,3
60,Data Structures,2020-08-21 22:07:15.170819,Introduction to Data Structures and Algorithms,4RLhuZ3N9nc,2020-05-16T17:29:12Z,PT19M42S,21060,1016,7
61,Data Structures,2020-08-21 22:07:15.170825,Set And Dictionary | Data Structures | Python Tutorials,APY_pYeMRkw,2020-07-29T01:15:01Z,PT10M38S,729,44,0
62,Data Structures,2020-08-21 22:07:15.170831,#5 Linked List Implementation in Java Part 1 | Data Structures,SMIq13-FZSE,2017-12-22T11:47:31Z,PT23M5S,330329,3654,156
63,Data Structures,2020-08-21 22:07:15.170837,Data Structure in C | Data Structures and Algorithms | C Programming | Great Learning,11i8bRojtYk,2020-06-22T12:45:13Z,PT2H6M37S,4449,164,8
64,Data Structures,2020-08-21 22:07:15.170843,2.2 Types of linked list in data structures,DWpVGpNfDmM,2019-08-09T10:49:50Z,PT13M15S,70327,1371,18
65,Data Structures,2020-08-21 22:07:15.170849,Data Structures: Hash Tables,shs0KM3wKv8,2016-09-27T19:39:14Z,PT6M25S,807235,7943,677
66,Data Structures,2020-08-21 22:07:15.170854,Linked List Data Structure | JavaScript,ZBdE8DElQQU,2019-07-03T16:41:49Z,PT29M36S,60564,2264,17
67,Data Structures,2020-08-21 22:07:15.170861,4.1 Queue in data structure | Introduction to queues | data structures,zp6pBNbUB2U,2019-09-13T05:52:45Z,PT20M19S,87857,1623,32
68,Data Structures,2020-08-21 22:07:15.170867,"Data Structures In Python | List, Dictionary, Tuple, Set In Python | Python Training | Edureka",m9n2f9lhtrw,2019-11-08T06:17:45Z,PT39M58S,32783,672,29
