,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
34,Data Structures,2020-08-20 16:23:24.607013,5.28 B tree deletion in data structures,GKa_t7fF8o0,2019-06-04T04:41:50Z,PT28M4S,112434,2247,41
35,Data Structures,2020-08-20 16:23:24.607025,How I Got Good at Algorithms and Data Structures,eQObpgYUwxM,2020-05-10T16:00:20Z,PT7M46S,52706,2073,38
36,Data Structures,2020-08-20 16:23:24.607035,Single Linked List Operations | Data Structures Tutorial | Mr. Srinivas,o1QaGUEi6ew,2016-09-26T21:39:43Z,PT20M33S,547068,5149,161
37,Data Structures,2020-08-20 16:23:24.607046,How I mastered Data Structures and Algorithms from scratch | MUST WATCH,IIKTGg5AKkY,2018-10-13T05:05:38Z,PT10M18S,836115,22565,775
38,Data Structures,2020-08-20 16:23:24.607057,Introductions to Data Structures and Algorithms |  Live Workshop by GeeksforGeeks - Day 2,PqqNMJHCmiE,2020-08-11T12:40:46Z,PT1H5M50S,12997,651,17
39,Data Structures,2020-08-20 16:23:24.607067,Data Structures and Algorithms in JavaScript - Full Course for Beginners,t2CEgPsws3U,2018-09-04T18:16:17Z,PT1H52M55S,395520,9007,74
40,Data Structures,2020-08-20 16:23:24.607078,Data Structures: Stacks and Queues,wjI1WNcIntg,2016-09-27T19:39:25Z,PT5M46S,308897,2931,76
41,Data Structures,2020-08-20 16:23:24.607088,Data Structures: Linked Lists,njTh_OwMljA,2016-09-27T19:39:23Z,PT7M43S,565463,6336,178
42,Data Structures,2020-08-20 16:23:24.607099,Array representation | Row Major order &amp; Column Major order | Data Structures| Lec-7 | Bhanu Priya,NlWEdScxU9k,2018-07-20T07:11:06Z,PT6M49S,18850,137,6
43,Data Structures,2020-08-20 16:23:24.607108,Introduction to Data Structure  Lec-1|Hindi,mH0lRS4ztgI,2019-02-23T02:17:03Z,PT5M39S,55972,1479,35
44,Data Structures,2020-08-20 16:23:24.607118,QUEUE IMPLEMENTATION USING LINKED LIST - DATA STRUCTURES,QfRoQMSJ664,2019-06-14T10:08:03Z,PT21M26S,19788,360,16
45,Data Structures,2020-08-20 16:23:24.607128,Data Structures In Pass 1 ll 2-PASS Assembler ll Explained with Examples in Hindi,0j1XDpAtcWU,2018-10-25T07:19:40Z,PT7M24S,37726,970,10
46,Data Structures,2020-08-20 16:23:24.607140,An Overview of Arrays and Memory (Data Structures &amp; Algorithms #2),pmN9ExDf3yQ,2018-03-18T04:19:52Z,PT20M20S,349918,7744,86
47,Data Structures,2020-08-20 16:23:24.607151,Data Structures: Trees,oSWTXtMglKE,2016-09-27T19:39:18Z,PT9M57S,597456,7958,139
48,Data Structures,2020-08-20 16:23:24.607162,How Important are Algorithms and Data Structures in Backend Engineering?,pG_twkFN6iE,2020-05-09T11:00:31Z,PT13M30S,6375,247,4
49,Data Structures,2020-08-20 16:23:24.607174,Data Structures: Heaps,t0Cq6tVNRBA,2016-09-27T19:39:16Z,PT10M32S,689047,6792,278
50,Data Structures,2020-08-20 16:23:25.842254,7.4 Insertion Sort Algorithm | Data Structure,yCxV0kBpA6M,2019-06-10T12:18:35Z,PT28M13S,222783,3946,115
