,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
0,Microbiology,2020-08-21 22:13:58.801193,What is Microbiology With Full Information? – [Hindi] – Quick Support,4H0RC_5HUDU,2020-07-29T13:30:41Z,PT9M18S,14688,990,16
1,Microbiology,2020-08-21 22:13:58.801205,B.Sc Microbiology कोर्स के बारे में पूरी जानकारी हिंदी में - What is BSc Microbiology | Student Go |,4S4r-Ryff-Y,2020-01-11T22:38:48Z,PT15M56S,32468,1033,49
2,Microbiology,2020-08-21 22:13:58.801209,Introduction To Microbiology,fU0XO1X1tAE,2017-09-26T20:34:26Z,PT6M45S,476901,9718,205
3,Microbiology,2020-08-21 22:13:58.801213,Microbiology lecture 1 | Bacteria structure and function,OBej7rFyN7U,2019-06-28T13:46:11Z,PT32M53S,129097,2663,73
4,Microbiology,2020-08-21 22:13:58.801218,Microbiology = Introduction and Scope of Microbiology (HINDI) By Solution Pharmacy,BEKyDNLM1q8,2018-12-27T11:30:00Z,PT13M35S,72242,1911,45
5,Microbiology,2020-08-21 22:13:58.801222,MICROBIOLOGY: A MAJOR COURSE ABOUT MINOR THINGS | CAREER GURU M.S JALIL,bZSkkILCGhc,2019-08-21T09:00:08Z,PT5M59S,18734,535,7
6,Microbiology,2020-08-21 22:13:58.801226,B.Sc microbiology/ b.sc microbiology course details in Tamil/b.sc microbiology jobs and salary,oBCC7d6oDTM,2020-04-22T14:53:08Z,PT7M3S,33676,952,25
7,Microbiology,2020-08-21 22:13:58.801229,Introduction to Microbiology.,H0xmxeh6qoo,2019-05-09T12:38:52Z,PT37M39S,106508,1835,47
8,Microbiology,2020-08-21 22:13:58.801233,Microbiology career jobs and salary | What to do after Bsc in Microbiology?,OVpNuSNtjFM,2019-02-11T16:14:10Z,PT19M5S,135066,3727,126
9,Microbiology,2020-08-21 22:13:58.801237,എന്താണ് bsc മൈക്രോ ബിയോളജി || BSC Microbiology - scope/Jobs In Malayalam,v8Lhjy8FIjY,2020-06-21T04:23:52Z,PT11M25S,7116,421,6
10,Microbiology,2020-08-21 22:13:58.801241,"CAREERS IN B.Sc MICROBIOLOGY - M.Sc,DEGREE,Job Opportunities,Salary Package",qKS_N8Qrma8,2015-06-04T12:07:26Z,PT5M23S,347227,3854,322
11,Microbiology,2020-08-21 22:13:58.801245,B.Sc Microbiology career options aur syllabus in Hindi | बीएससी माइक्रोबायोलॉजी,MP_-AG2ob3w,2020-05-30T16:30:07Z,PT6M59S,5868,171,10
12,Microbiology,2020-08-21 22:13:58.801249,"BSc Microbiology in Tamil | Scope, salary &amp; Job details of BSc Microbiology | Higher studies",UjjdYkLtP4I,2020-07-26T13:06:36Z,PT5M54S,2824,80,2
13,Microbiology,2020-08-21 22:13:58.801252,Microbiology Important Points ( Part - 1 ),G6asddRHhgg,2019-03-10T11:30:00Z,PT14M57S,61987,2242,56
14,Microbiology,2020-08-21 22:13:58.801256,#BSc #Microbiology Jobs TOB 10 #Govt jobs &amp; Private jobs | Higher studies | #TNPSCMakingChange,Jqe_azS1p2E,2020-05-14T05:59:33Z,PT6M5S,9143,-1,-1
15,Microbiology,2020-08-21 22:13:58.801260,A tour of the Microbiology Lab - Section one,afM7DGjSVn4,2009-09-03T15:41:02Z,PT8M12S,387895,3255,63
16,Microbiology,2020-08-21 22:13:58.801264,Bsc microbiology course detail in Hindi | bsc microbiology job opportunity | bsc microbiology fees |,2UN-QXerE44,2020-07-26T02:26:18Z,PT8M19S,2094,76,5
17,Microbiology,2020-08-21 22:13:58.801268,Introduction to Microbiology in Hindi - Microbiology with Sumi,Zhn3lzYBy2Y,2018-07-26T09:00:44Z,PT15M15S,99264,3194,118
18,Microbiology,2020-08-21 22:13:58.801271,History of Microbiology in Hindi - Microbiology with Sumi,YNRPO0WE3fM,2019-02-17T12:23:56Z,PT18M49S,53646,1374,60
19,Microbiology,2020-08-21 22:13:58.801275,Career in Microbiology in Malayalam | BSC Micryobiology Course Details | MSC Microbiology Details,EHR00VyDqOc,2020-07-29T14:37:15Z,PT5M39S,655,36,0
20,Microbiology,2020-08-21 22:13:58.801279,Microbiology course | B.Sc microbiology | botany | zoology | microbiology course details in tamil |,3898-KKU_5w,2020-04-30T06:38:54Z,PT5M29S,7623,234,11
21,Microbiology,2020-08-21 22:13:58.801283,Career after M.Sc in Microbiology,F-P7woqj7UU,2020-05-23T14:52:46Z,PT8M41S,7619,298,10
22,Microbiology,2020-08-21 22:13:58.801287,what is microbiology in hindi,3RXbOmWxLXU,2018-10-12T06:12:57Z,PT1M21S,24402,388,27
